
  ==========================================
  Studio Pro version: 9.0.4
  Started at: 27/1/2023 10:59:06
  ==========================================
  


  ==========================================
  Studio Pro version: 9.0.4
  Started at: 27/1/2023 10:59:25
  ==========================================
  

[2023-01-27T18:01:18.381Z] : [success]: Your Ejemplo para EV file has been converted to project successfully

[2023-01-27T18:01:20.067Z] : [warn]: There is a small amount of free memory (RAM) left, 91.22% of RAM is being used (7400 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-29T23:31:10.722Z] : [warn]: There is a small amount of free memory (RAM) left, 93.21% of RAM is being used (7561 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:11:10.273Z] : [warn]: There is a small amount of free memory (RAM) left, 91.32% of RAM is being used (7408 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:14:10.309Z] : [warn]: There is a small amount of free memory (RAM) left, 90.71% of RAM is being used (7358 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:17:10.338Z] : [warn]: There is a small amount of free memory (RAM) left, 90.63% of RAM is being used (7352 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:20:10.360Z] : [warn]: There is a small amount of free memory (RAM) left, 90.37% of RAM is being used (7331 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:23:10.377Z] : [warn]: There is a small amount of free memory (RAM) left, 90.77% of RAM is being used (7363 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:26:10.402Z] : [warn]: There is a small amount of free memory (RAM) left, 91.56% of RAM is being used (7427 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:29:10.426Z] : [warn]: There is a small amount of free memory (RAM) left, 91.73% of RAM is being used (7441 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:32:10.438Z] : [warn]: There is a small amount of free memory (RAM) left, 92.59% of RAM is being used (7511 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:35:10.466Z] : [warn]: There is a small amount of free memory (RAM) left, 91.88% of RAM is being used (7453 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:38:10.481Z] : [warn]: There is a small amount of free memory (RAM) left, 91.16% of RAM is being used (7395 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:41:10.506Z] : [warn]: There is a small amount of free memory (RAM) left, 91.25% of RAM is being used (7402 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:44:10.521Z] : [warn]: There is a small amount of free memory (RAM) left, 91.61% of RAM is being used (7431 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:47:10.545Z] : [warn]: There is a small amount of free memory (RAM) left, 93.16% of RAM is being used (7557 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:50:40.366Z] : [warn]: There is a small amount of free memory (RAM) left, 90.84% of RAM is being used (7369 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T00:53:40.385Z] : [warn]: There is a small amount of free memory (RAM) left, 90.67% of RAM is being used (7355 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:20:40.425Z] : [warn]: There is a small amount of free memory (RAM) left, 91.48% of RAM is being used (7421 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:23:40.475Z] : [warn]: There is a small amount of free memory (RAM) left, 91.53% of RAM is being used (7425 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:26:40.486Z] : [warn]: There is a small amount of free memory (RAM) left, 91.72% of RAM is being used (7440 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:29:40.515Z] : [warn]: There is a small amount of free memory (RAM) left, 91.62% of RAM is being used (7432 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:32:40.534Z] : [warn]: There is a small amount of free memory (RAM) left, 92.22% of RAM is being used (7481 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:35:40.549Z] : [warn]: There is a small amount of free memory (RAM) left, 91.9% of RAM is being used (7455 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:39:40.534Z] : [warn]: There is a small amount of free memory (RAM) left, 90.09% of RAM is being used (7308 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:42:40.530Z] : [warn]: There is a small amount of free memory (RAM) left, 90.47% of RAM is being used (7339 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:43:40.415Z] : [warn]: There is a small amount of free memory (RAM) left, 90.21% of RAM is being used (7318 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:49:10.342Z] : [warn]: There is a small amount of free memory (RAM) left, 90.24% of RAM is being used (7320 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:50:10.332Z] : [warn]: There is a small amount of free memory (RAM) left, 90.19% of RAM is being used (7316 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:53:10.447Z] : [warn]: There is a small amount of free memory (RAM) left, 91.42% of RAM is being used (7416 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:56:10.468Z] : [warn]: There is a small amount of free memory (RAM) left, 91.81% of RAM is being used (7448 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T01:59:10.488Z] : [warn]: There is a small amount of free memory (RAM) left, 91.4% of RAM is being used (7414 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:04:40.426Z] : [warn]: There is a small amount of free memory (RAM) left, 90.96% of RAM is being used (7379 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:07:40.441Z] : [warn]: There is a small amount of free memory (RAM) left, 90.61% of RAM is being used (7350 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:12:10.354Z] : [warn]: There is a small amount of free memory (RAM) left, 90.06% of RAM is being used (7306 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:20:40.571Z] : [warn]: There is a small amount of free memory (RAM) left, 90.13% of RAM is being used (7311 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:21:40.486Z] : [warn]: There is a small amount of free memory (RAM) left, 93.29% of RAM is being used (7568 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:24:40.524Z] : [warn]: There is a small amount of free memory (RAM) left, 90.64% of RAM is being used (7353 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:27:40.447Z] : [warn]: There is a small amount of free memory (RAM) left, 91.09% of RAM is being used (7389 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:44:10.393Z] : [warn]: There is a small amount of free memory (RAM) left, 90.42% of RAM is being used (7335 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:47:10.440Z] : [warn]: There is a small amount of free memory (RAM) left, 91.36% of RAM is being used (7411 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:50:10.450Z] : [warn]: There is a small amount of free memory (RAM) left, 91.4% of RAM is being used (7414 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:53:10.466Z] : [warn]: There is a small amount of free memory (RAM) left, 91.32% of RAM is being used (7408 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:56:10.480Z] : [warn]: There is a small amount of free memory (RAM) left, 91.53% of RAM is being used (7425 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T02:59:10.504Z] : [warn]: There is a small amount of free memory (RAM) left, 92.48% of RAM is being used (7502 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:01:40.489Z] : [warn]: There is a small amount of free memory (RAM) left, 90.09% of RAM is being used (7308 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:03:10.397Z] : [warn]: There is a small amount of free memory (RAM) left, 90.05% of RAM is being used (7305 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:05:40.476Z] : [warn]: There is a small amount of free memory (RAM) left, 90.31% of RAM is being used (7326 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:11:40.485Z] : [warn]: There is a small amount of free memory (RAM) left, 90.88% of RAM is being used (7372 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:14:40.531Z] : [warn]: There is a small amount of free memory (RAM) left, 91.97% of RAM is being used (7461 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:17:40.610Z] : [warn]: There is a small amount of free memory (RAM) left, 90.4% of RAM is being used (7333 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:20:40.633Z] : [warn]: There is a small amount of free memory (RAM) left, 90.15% of RAM is being used (7313 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:23:40.646Z] : [warn]: There is a small amount of free memory (RAM) left, 90.24% of RAM is being used (7320 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:33:40.515Z] : [warn]: There is a small amount of free memory (RAM) left, 90.03% of RAM is being used (7303 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:34:40.520Z] : [warn]: There is a small amount of free memory (RAM) left, 90.13% of RAM is being used (7311 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:40:40.535Z] : [warn]: There is a small amount of free memory (RAM) left, 90.2% of RAM is being used (7317 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:41:40.509Z] : [warn]: There is a small amount of free memory (RAM) left, 90.32% of RAM is being used (7327 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:44:40.559Z] : [warn]: There is a small amount of free memory (RAM) left, 91.47% of RAM is being used (7420 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:47:40.643Z] : [warn]: There is a small amount of free memory (RAM) left, 91.21% of RAM is being used (7399 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T03:50:40.668Z] : [warn]: There is a small amount of free memory (RAM) left, 92.79% of RAM is being used (7527 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:04:10.458Z] : [warn]: There is a small amount of free memory (RAM) left, 90.01% of RAM is being used (7302 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:09:40.533Z] : [warn]: There is a small amount of free memory (RAM) left, 90.19% of RAM is being used (7316 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:10:40.528Z] : [warn]: There is a small amount of free memory (RAM) left, 90.18% of RAM is being used (7315 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:11:40.530Z] : [warn]: There is a small amount of free memory (RAM) left, 90.11% of RAM is being used (7310 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:20:40.536Z] : [warn]: There is a small amount of free memory (RAM) left, 90.01% of RAM is being used (7302 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:22:40.536Z] : [warn]: There is a small amount of free memory (RAM) left, 90.16% of RAM is being used (7314 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:23:40.606Z] : [warn]: There is a small amount of free memory (RAM) left, 90.14% of RAM is being used (7312 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:26:40.641Z] : [warn]: There is a small amount of free memory (RAM) left, 90.37% of RAM is being used (7331 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:29:40.661Z] : [warn]: There is a small amount of free memory (RAM) left, 90.63% of RAM is being used (7352 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:32:40.671Z] : [warn]: There is a small amount of free memory (RAM) left, 91.15% of RAM is being used (7394 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:35:40.700Z] : [warn]: There is a small amount of free memory (RAM) left, 91.52% of RAM is being used (7424 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:38:40.712Z] : [warn]: There is a small amount of free memory (RAM) left, 91.03% of RAM is being used (7384 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:45:10.468Z] : [warn]: There is a small amount of free memory (RAM) left, 90.63% of RAM is being used (7352 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:48:10.479Z] : [warn]: There is a small amount of free memory (RAM) left, 90.26% of RAM is being used (7322 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:51:10.512Z] : [warn]: There is a small amount of free memory (RAM) left, 90.91% of RAM is being used (7375 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:54:10.535Z] : [warn]: There is a small amount of free memory (RAM) left, 91.1% of RAM is being used (7390 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T04:57:10.550Z] : [warn]: There is a small amount of free memory (RAM) left, 90.72% of RAM is being used (7359 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:00:40.720Z] : [warn]: There is a small amount of free memory (RAM) left, 90.5% of RAM is being used (7341 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:03:40.768Z] : [warn]: There is a small amount of free memory (RAM) left, 90.27% of RAM is being used (7323 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:06:40.783Z] : [warn]: There is a small amount of free memory (RAM) left, 91.07% of RAM is being used (7388 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:09:40.800Z] : [warn]: There is a small amount of free memory (RAM) left, 90.83% of RAM is being used (7368 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:12:40.823Z] : [warn]: There is a small amount of free memory (RAM) left, 90.89% of RAM is being used (7373 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:15:40.847Z] : [warn]: There is a small amount of free memory (RAM) left, 90.98% of RAM is being used (7380 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:18:40.866Z] : [warn]: There is a small amount of free memory (RAM) left, 91.24% of RAM is being used (7401 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:21:40.891Z] : [warn]: There is a small amount of free memory (RAM) left, 91.3% of RAM is being used (7406 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:24:40.914Z] : [warn]: There is a small amount of free memory (RAM) left, 90.42% of RAM is being used (7335 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:25:40.622Z] : [warn]: There is a small amount of free memory (RAM) left, 90.51% of RAM is being used (7342 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T05:28:40.637Z] : [warn]: There is a small amount of free memory (RAM) left, 91.16% of RAM is being used (7395 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:18:10.556Z] : [warn]: There is a small amount of free memory (RAM) left, 90.21% of RAM is being used (7318 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:34:40.754Z] : [warn]: There is a small amount of free memory (RAM) left, 90.53% of RAM is being used (7344 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:37:40.814Z] : [warn]: There is a small amount of free memory (RAM) left, 90.35% of RAM is being used (7329 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:40:40.856Z] : [warn]: There is a small amount of free memory (RAM) left, 90.72% of RAM is being used (7359 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:43:40.820Z] : [warn]: There is a small amount of free memory (RAM) left, 91.25% of RAM is being used (7402 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:46:40.861Z] : [warn]: There is a small amount of free memory (RAM) left, 90.9% of RAM is being used (7374 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:49:40.898Z] : [warn]: There is a small amount of free memory (RAM) left, 90.85% of RAM is being used (7370 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:52:40.953Z] : [warn]: There is a small amount of free memory (RAM) left, 91.31% of RAM is being used (7407 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:55:41.044Z] : [warn]: There is a small amount of free memory (RAM) left, 92.71% of RAM is being used (7521 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T06:58:41.091Z] : [warn]: There is a small amount of free memory (RAM) left, 92.31% of RAM is being used (7488 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:01:41.131Z] : [warn]: There is a small amount of free memory (RAM) left, 91.75% of RAM is being used (7443 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:04:41.159Z] : [warn]: There is a small amount of free memory (RAM) left, 91.43% of RAM is being used (7417 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:35:11.071Z] : [warn]: There is a small amount of free memory (RAM) left, 90.04% of RAM is being used (7304 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:39:41.197Z] : [warn]: There is a small amount of free memory (RAM) left, 90.19% of RAM is being used (7316 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:42:41.280Z] : [warn]: There is a small amount of free memory (RAM) left, 90.21% of RAM is being used (7318 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:44:41.161Z] : [warn]: There is a small amount of free memory (RAM) left, 90.46% of RAM is being used (7338 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:47:41.165Z] : [warn]: There is a small amount of free memory (RAM) left, 91.05% of RAM is being used (7386 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:50:41.190Z] : [warn]: There is a small amount of free memory (RAM) left, 90.66% of RAM is being used (7354 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:53:41.209Z] : [warn]: There is a small amount of free memory (RAM) left, 90.57% of RAM is being used (7347 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:56:41.260Z] : [warn]: There is a small amount of free memory (RAM) left, 91.03% of RAM is being used (7384 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T07:59:41.341Z] : [warn]: There is a small amount of free memory (RAM) left, 91.56% of RAM is being used (7427 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T08:02:41.370Z] : [warn]: There is a small amount of free memory (RAM) left, 91.1% of RAM is being used (7390 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T08:05:41.390Z] : [warn]: There is a small amount of free memory (RAM) left, 91.56% of RAM is being used (7427 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T08:08:41.421Z] : [warn]: There is a small amount of free memory (RAM) left, 91.33% of RAM is being used (7409 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T08:11:41.445Z] : [warn]: There is a small amount of free memory (RAM) left, 91.4% of RAM is being used (7414 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T08:14:41.469Z] : [warn]: There is a small amount of free memory (RAM) left, 91.8% of RAM is being used (7447 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T08:17:41.496Z] : [warn]: There is a small amount of free memory (RAM) left, 92.15% of RAM is being used (7475 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T08:20:41.519Z] : [warn]: There is a small amount of free memory (RAM) left, 91.75% of RAM is being used (7443 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T08:23:41.536Z] : [warn]: There is a small amount of free memory (RAM) left, 91.46% of RAM is being used (7419 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T09:20:41.256Z] : [warn]: There is a small amount of free memory (RAM) left, 90.43% of RAM is being used (7336 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T11:38:41.590Z] : [warn]: There is a small amount of free memory (RAM) left, 91.9% of RAM is being used (7455 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T13:56:42.105Z] : [warn]: There is a small amount of free memory (RAM) left, 94.53% of RAM is being used (7668 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T14:01:11.438Z] : [warn]: There is a small amount of free memory (RAM) left, 93.23% of RAM is being used (7563 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T14:04:11.496Z] : [warn]: There is a small amount of free memory (RAM) left, 93.39% of RAM is being used (7576 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T14:07:43.278Z] : [warn]: There is a small amount of free memory (RAM) left, 91.8% of RAM is being used (7447 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T14:27:29.106Z] : [warn]: There is a small amount of free memory (RAM) left, 94.9% of RAM is being used (7698 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T14:28:57.473Z] : [info]: Internet connection // error

[2023-01-30T14:34:52.598Z] : [success]: Connection to our licenses server is restored

[2023-01-30T14:37:55.413Z] : [info]: Internet connection // error

[2023-01-30T15:05:02.602Z] : [success]: Connection to our licenses server is restored

[2023-01-30T15:07:11.450Z] : [warn]: There is a small amount of free memory (RAM) left, 91.09% of RAM is being used (7389 MBs). The performance of Studio Pro and bots during execution may be unstable. Close applications that are not being used, increase the memory, or optimize the workflow.

[2023-01-30T15:07:48.236Z] : [info]: Internet connection // error

[2023-01-30T15:08:04.811Z] : [success]: Connection to our licenses server is restored

